"","record_id","redcap_survey_identifier","household_sex_toy_usage_survey_timestamp","consent","screening_age","screening_usage","country_origin","country_name","age","gender_birth","gender_expression","gender_other","employment","employment_other","career","career_other","household_income","access_sextoys","access_no___1","access_no___2","access_no___3","access_no___4","access_no___5","access_no___6","access_no___7","access_no_other","own_trad_sextoys","categorize_sextoys___1","categorize_sextoys___2","categorize_sextoys___3","categorize_sextoys___4","categorize_sextoys___5","household_select___1","household_select___2","household_select___3","household_select___4","household_select___5","household_select___6","household_select___7","household_select___8","household_select___9","household_select___10","householditem_other","toothbrush_satisfaction","household_recommend_1","showerhead_satisfaction","showerhead_recommend","washmachine_satisfaction","washmachine_recommend","massagewand_satisfaction","massagewand_recommend","silktie_satisfaction","silktie_recommend","icecube_satisfaction","icecube_recommend","produce_satisfaction","produce_recommend","furniture_satisfaction","furniture_recommend","pillow_satisfaction","pillow_recommend","other_satisfaction","other_recommend","household_cost","safety_concerns___1","safety_concerns___2","safety_concerns___3","safety_concerns___4","safety_concerns___5","safety_concerns___6","safety_concerns___7","other_concern","household_sex_toy_usage_survey_complete","household_sum","traditional_sum","total_toys","household_toy","superuser"
"37",98,NA,"2023-06-24 20:45:31","Yes",1,1,1,"",5,2,2,"",3,"",6,"",6,1,0,0,0,0,0,0,0,"",1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,2,3,3,5,TRUE,TRUE
"38",99,NA,"2023-06-24 20:49:35","Yes",1,1,1,"",5,1,1,"",6,"",1,"",7,1,0,0,0,0,0,0,0,"",1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,"",NA,NA,78,NA,NA,NA,88,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,5,1,1,0,0,0,0,0,NA,2,6,5,8,TRUE,TRUE
"39",101,NA,"2023-06-24 21:00:49","Yes",1,1,1,"",2,1,1,"",1,"",1,"",3,1,0,0,0,0,0,0,0,"",1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,"hairbrush, glass soda bottles",63,NA,77,NA,NA,NA,100,NA,NA,NA,50,NA,69,NA,NA,NA,96,NA,77,NA,2,0,1,1,0,0,0,0,NA,2,6,3,8,TRUE,TRUE
"40",103,NA,"2023-06-24 21:20:33","Yes",1,1,1,"",1,1,3,"",4,"",1,"",2,1,0,0,0,0,0,0,0,"",1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,"",NA,NA,92,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,3,0,1,0,0,0,0,0,NA,2,2,2,4,TRUE,FALSE
"41",107,NA,"2023-06-24 21:54:01","Yes",1,1,1,"",1,1,1,"",4,"",10,"",NA,1,0,0,0,0,0,0,0,"",1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,"hair brush ",NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,35,NA,61,NA,3,1,1,0,0,0,0,0,NA,2,2,2,3,TRUE,FALSE
"42",108,NA,"2023-06-24 21:59:32","Yes",1,1,1,"",1,1,2,"",8,"I am disabled and on SSI ",21,"None",1,1,0,0,0,0,0,0,0,"",1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,"A sensory toy called glitter wands/glitter tubes. It's a long, thin plastic stick that has water and glitter inside.",NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,72,NA,86,NA,91,NA,3,1,1,1,0,0,0,0,NA,2,2,3,4,TRUE,FALSE
"43",109,NA,"2023-06-24 21:58:30","Yes",1,1,1,"",1,1,1,"",1,"",1,"",5,1,0,0,0,0,0,0,0,"",1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,"",99,NA,100,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,50,NA,77,NA,NA,NA,2,0,1,0,0,0,0,0,NA,2,3,2,5,TRUE,TRUE
"44",113,NA,"2023-06-24 22:12:52","Yes",1,1,1,"",2,1,1,"",1,"",8,"",7,1,0,0,0,0,0,0,0,"",1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,"",NA,NA,81,NA,NA,NA,58,NA,61,NA,100,NA,NA,NA,NA,NA,61,NA,NA,NA,4,1,0,0,0,0,0,0,NA,2,7,5,9,TRUE,TRUE
"45",114,NA,"2023-06-24 22:17:49","Yes",1,1,1,"",3,2,2,"",1,"",11,"",5,1,0,0,0,0,0,0,0,"",1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,"",NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,0,0,0,0,NA,2,3,3,5,TRUE,TRUE
"46",118,NA,"2023-06-24 22:52:20","Yes",1,1,1,"",1,1,1,"",1,"",16,"",2,1,0,0,0,0,0,0,0,"",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"",95,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,1,0,0,NA,2,2,1,3,TRUE,FALSE
